source_id,subject,relative_path,decision,public_action,reason
SRC-0033,고주파공학,사진\homework4\ex5-1\4.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0034,고주파공학,사진\homework4\ex5-1\5.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0035,고주파공학,사진\homework4\ex5-1\design ex5-6.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0036,고주파공학,사진\homework4\ex5-1\회로도.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0037,고주파공학,사진\homework4\ex5-2\db20sol1.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0038,고주파공학,사진\homework4\ex5-2\db20sol2.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0039,고주파공학,사진\homework4\ex5-2\design ex5-7.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0040,고주파공학,사진\homework4\ex5-2\main sol1.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0041,고주파공학,사진\homework4\ex5-2\main sol2.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0042,고주파공학,사진\homework4\ex5-2\stub sol1.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0043,고주파공학,사진\homework4\ex5-2\stub sol2.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0044,고주파공학,사진\homework4\ex5-2\회로도.PNG,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0045,고주파공학,사진\homework4\homework 4.pdf,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0046,고주파공학,사진\homework4\고주파공학 1분반_homework4_[STUDENT-ID]_[AUTHOR].pdf,DUPLICATE,Do not republish duplicate bytes.,Exact SHA-256 duplicate of the canonical source record.
SRC-0047,고주파공학,사진\homework4\합치기.hwpx,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0048,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\1.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0049,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\10.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0050,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\11.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0051,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\2.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0052,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\3.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0053,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\4.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0054,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\5.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0055,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\6.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0056,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\8.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0057,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\9.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0058,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\스크린샷 2026-07-29 104524.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0059,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\스크린샷 2026-07-29 104534.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0060,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\스크린샷 2026-07-29 104541.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0061,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\스크린샷 2026-07-29 104547.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0062,고주파공학,사진\homework5\ex12-3(시뮬하다가 중단)\스크린샷 2026-07-29 104550.png,INCOMPLETE_WORK,Show only as an explicitly incomplete engineering boundary.,Source directory explicitly records an unfinished simulation.
SRC-0063,고주파공학,사진\homework5\ex7-2\1.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0064,고주파공학,사진\homework5\ex7-2\2.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0065,고주파공학,사진\homework5\ex7-2\3.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0066,고주파공학,사진\homework5\ex7-2\4.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0067,고주파공학,사진\homework5\ex7-2\5.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0068,고주파공학,사진\homework5\ex7-2\6.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0069,고주파공학,사진\homework5\ex7-2\7.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0070,고주파공학,사진\homework5\ex7-2\8.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0071,고주파공학,사진\homework5\ex7-2\ex7.2.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0072,고주파공학,사진\homework5\ex7-5\1.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0073,고주파공학,사진\homework5\ex7-5\2.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0074,고주파공학,사진\homework5\ex7-5\3.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0075,고주파공학,사진\homework5\ex7-5\4-1.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0076,고주파공학,사진\homework5\ex7-5\4-2.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0077,고주파공학,사진\homework5\ex7-5\5.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0078,고주파공학,사진\homework5\ex7-5\6.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0079,고주파공학,사진\homework5\ex7-5\ex7.5.png,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0080,고주파공학,사진\homework5\Ex7_2_Ex7_5_RF_Design_Report.docx,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0081,고주파공학,사진\homework5\homework 5.pdf,PUBLIC_USED,Curate into case study with source label/redaction.,"Primary student-authored report, source, calculation, or visual evidence."
SRC-0082,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-13 230356.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0083,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-13 230413.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0084,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 132756.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0085,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 133338.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0086,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 133510.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0087,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135049.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0088,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135152.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0089,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135358.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0090,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135602.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0091,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 135937.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0092,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 140037.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0093,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 140114.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0094,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 143646.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0095,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144610.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0096,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144626.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0097,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144634.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0098,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 144743.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0099,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 154838.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0100,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 154930.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0101,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 154945.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0102,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 155733.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0103,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 155838.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0104,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 160721.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0105,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 160735.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0106,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 161506.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0107,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 161542.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0108,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 161635.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0109,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 163927.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0110,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 163950.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0111,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 164141.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0112,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 164722.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0113,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165210.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0114,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165421.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0115,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165434.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0116,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165555.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0117,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165721.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0118,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 165941.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0119,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 170057.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0120,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 174542.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0121,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175623.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0122,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175651.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0123,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175735.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0124,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175847.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0125,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175859.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0126,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175908.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0127,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175914.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0128,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 175922.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0129,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 180339.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0130,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 191333.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0131,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 191733.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0132,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 192021.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0133,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 193003.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0134,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 193556.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0135,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 195211.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0136,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 200628.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0137,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 201112.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0138,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 201540.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0139,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202315.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0140,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202433.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0141,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202522.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0142,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202530.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
SRC-0143,고주파공학,사진\homework5\시뮬사진\스크린샷 2026-04-14 202558.png,PUBLIC_REFERENCE_ONLY,Retain in private audit; link only if useful and safe.,Large sequential Cadence screenshot set; select only decision-relevant frames.
