asset_id,archive,nested_archive,original_path,original_filename,extension,byte_size,width,height,aspect_ratio,file_hash_sha256,perceptual_hash,project,course,source_type,evidence_status,contains_person,contains_personal_information,contains_student_id,contains_local_path,contains_third_party_material,text_readability,technical_relevance,evidence_strength,readability_score,resolution_score,privacy_safety,uniqueness,recruiter_value,selection_score,duplicate_group,preferred_source,publication_status,publication_reason,public_filename,github_readme,github_pages_ko,github_pages_en,notion_parent,notion_detail,caption_ko,caption_en,alt_ko,alt_en,source_page_or_sheet,public_locations
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-16::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 16,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-17::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 17,
COU-a1da41086179,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-17::Image97.png,Image97.png,.png,3542,371,79,4.6962,a1da4108617965a9bfe8149e1a894235fbb267f72cf194acbdc95eaf1005bb89,9c66316640e1febc,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image97 — Embedded Source Visual,Image97 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image97 기술 근거 화면,Technical evidence view named Image97 from the Controller Logic project,PDF page 17,
COU-4336fbf5d389,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-17::Image98.png,Image98.png,.png,1760,133,68,1.9559,4336fbf5d3898ab36caf51bd9b6c9fb7041302174cf5034cccc6570293f5f916,d4d55ad06ada29ca,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image98 — Embedded Source Visual,Image98 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image98 기술 근거 화면,Technical evidence view named Image98 from the Controller Logic project,PDF page 17,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-18::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 18,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-19::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 19,
COU-c6d2eeccd04a,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-1::Image7.jpg,Image7.jpg,.jpg,2264,92,64,1.4375,c6d2eeccd04a3c3ab0b88d1fe3f0b9d02dd06c46c91258778f98cdcb71593efa,c3872d3972d03a6d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0290,COU-c6d2eeccd04a,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image7 — Embedded Source Visual,Image7 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image7 기술 근거 화면,Technical evidence view named Image7 from the Controller Logic project,PDF page 1,
COU-02ac4c518dcf,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-20::Image110.jpg,Image110.jpg,.jpg,9722,544,198,2.7475,02ac4c518dcf083836ee9bd6207ceb67b5ec07b2938299ca14a69eae2c4b97db,ba2a2f54ada175a8,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Low,5,3,2,2,5,5,3,25,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image110 — Embedded Source Visual,Image110 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image110 기술 근거 화면,Technical evidence view named Image110 from the Controller Logic project,PDF page 20,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-20::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 20,
COU-cfbf303a4df1,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-21::Image118.jpg,Image118.jpg,.jpg,7891,356,151,2.3576,cfbf303a4df1ba055c84f6198606d8be99d4368a562db956015b245c9d341bac,edfb08f362cc1a21,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image118 — Embedded Source Visual,Image118 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image118 기술 근거 화면,Technical evidence view named Image118 from the Controller Logic project,PDF page 21,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-21::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 21,
COU-807fa3c618af,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-22::Image121.jpg,Image121.jpg,.jpg,9321,353,215,1.6419,807fa3c618af00bbc197e12f9ae80f9da40aa1055bb62ef60ff8cc0eb0e430bb,bf3069fc69985252,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Low,5,3,2,2,5,5,3,25,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image121 — Embedded Source Visual,Image121 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image121 기술 근거 화면,Technical evidence view named Image121 from the Controller Logic project,PDF page 22,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-22::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 22,
COU-4cb309ee3f7d,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-23::Image124.jpg,Image124.jpg,.jpg,9843,253,271,0.9336,4cb309ee3f7d87348471f30e5b5fe7a067be4fc4147101a554e8efbe5c0c624a,aaf42e406d90b37b,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Low,5,3,2,2,5,5,3,25,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image124 — Embedded Source Visual,Image124 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image124 기술 근거 화면,Technical evidence view named Image124 from the Controller Logic project,PDF page 23,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-23::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 23,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-24::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 24,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-25::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 25,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-26::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 26,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-27::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 27,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-28::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 28,
COU-1e911d587ada,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-28::Image149.jpg,Image149.jpg,.jpg,16272,361,446,0.8094,1e911d587ada9c0639ff7595dea7df92a154a8926941717ec098e3b5814d9861,b89cc990666bcb36,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Moderate,5,3,3,2,5,5,3,26,,,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image149 — Embedded Source Visual,Image149 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image149 기술 근거 화면,Technical evidence view named Image149 from the Controller Logic project,PDF page 28,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-29::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 29,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-2::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Publicly Withheld,"Lower-value, incomplete, redundant-context, or unverified visual",,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 2,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-30::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 30,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-31::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 31,
COU-671705ce8130,Coursework,,학부 과제 및 프로젝트/컨트롤로직설계/04. Introduction to VHDL.pdf::page-32::Image14.png,Image14.png,.png,1219,47,21,2.2381,671705ce8130f9c521cc5b3c7034d34ed0efa76772d74ccef33212b052a8c4b9,bcd2c52d96a3d20d,Controller Logic,Controller Logic,PDF Embedded Image,Embedded Source Visual,false,false,false,false,false,Unreadable/Unknown,5,3,1,2,5,5,3,24,EXACT-0291,COU-671705ce8130,Exact Duplicate,Byte-identical to preferred source COU-671705ce8130,,,,,,,Controller Logic의 Image14 — Embedded Source Visual,Image14 from Controller Logic — Embedded Source Visual,Controller Logic 과제의 Image14 기술 근거 화면,Technical evidence view named Image14 from the Controller Logic project,PDF page 32,
